event_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99
1690808671141431,0,0,0,0.0187337076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281005614,0,0,0,0,0,0,0,0,0,0,0,0,0.029692224,0,0,0.029692224,0,0,0,0,0,0,0,0,0.0311160148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335798196,0,0,0,0,0.0346614778,0,0,0,0,0,0,0,0,0.0346614778,0,0,0,0,0,0,0,0,0,0,0,0
403409569850856,0.005086168,0.005086168,0,0,0.0064180294,0.0074511014,0,0,0,0,0.0082951827,0.0082951827,0,0.0414759136,0,0,0.0090088433,0.0090088433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061034016,0,0,0,0.030517008,0,0.0106601162,0,0,0,0,0,0.0426404647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115041975,0,0.0115041975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118747655,0,0.0118747655,0.0118747655,0.0118747655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1643882742553367,0.0132362926,0,0.0167023417,0,0,0,0,0,0.0193908182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250535126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288903045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299386343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635917429,0,0
1105684389456261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077836406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959158109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025979743,0,0,0,0,0,0,0,0,0,0,0,0,0.2111245864,0,0
1646169172322185,0,0,0,0,0,0,0,0,0.0178826435,0,0.0199084385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511685576,0,0,0,0,0,0,0,0,0,0,0.0532865616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284994373,0,0,0,0,0,0,0,0,0,0,0.0569988746,0,0,0,0,0,0,0,0,0
911436185576858,0.0150494834,0,0,0,0,0,0,0,0,0,0,0.0245446503,0,0,0,0,0,0,0,0,0.0533126068,0,0,0,0.0284855006,0,0,0,0,0.0569710011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656957609,0.0328478804,0,0,0,0,0,0,0,0.0340398171,0,0,0,0,0.0340398171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702725851,0,0,0,0,0.0351362926,0,0,0,0,0,0,0,0,0,0,0
529715233844807,0,0,0,0,0,0,0,0,0.0536479304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1656604433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667176276899761,0.0079609586,0,0.0452052509,0.0100456113,0.0100456113,0.0116625936,0,0,0.0058312968,0,0.0064918821,0,0,0,0,0,0,0.0141007982,0.0070503991,0,0,0,0,0,0.015068417,0,0.0075342085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083426996,0.0083426996,0.0083426996,0,0,0,0,0,0,0.0083426996,0,0,0.0260640791,0.0086880264,0.0173760527,0,0.0347521054,0,0,0,0,0,0,0,0,0,0,0,0,0.009003285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278798843,0,0.0185865895,0,0.0185865895,0,0,0,0.0095618019,0
492973564196201,0,0.0052817898,0.0399892604,0.0133297535,0,0,0,0,0,0,0,0,0.0172284564,0,0,0,0.0187106745,0,0.0467766863,0,0.0093553373,0,0.0093553373,0,0,0,0.0099973151,0,0,0,0.0099973151,0,0,0,0,0,0,0,0.0105635797,0.0105635797,0.0211271594,0,0,0.0110701206,0,0,0,0,0,0,0,0.0221402413,0,0,0.0115283427,0,0.0115283427,0,0,0,0,0,0,0,0,0.0119466666,0.0119466666,0,0,0,0,0.0119466666,0,0,0,0,0,0,0,0,0.0123314873,0,0,0,0,0,0,0,0.0493259492,0.0123314873,0.0369944619,0,0,0,0,0,0,0,0.0126877756,0
1699270880286806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310364409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142489732775742,0.0052066933,0.0034711289,0.0109501924,0,0.0021900385,0.0025425559,0.0025425559,0,0.0050851119,0.0056611674,0.0028305837,0.0028305837,0,0.0113223347,0,0.0056611674,0.0030741077,0,0,0.0061482153,0,0,0,0.0030741077,0,0,0,0,0,0,0,0.0032850577,0,0.0069422577,0,0.0034711289,0,0.0069422577,0,0,0,0.0069422577,0.0036375752,0,0,0,0.0181878759,0,0,0,0.0072751504,0,0,0,0,0,0,0,0,0.0037881442,0,0,0,0,0.0039256029,0.0039256029,0,0,0.0039256029,0,0,0.0039256029,0,0.0039256029,0,0.0078512058,0,0,0,0,0,0,0.0040520527,0.0040520527,0.0040520527,0.0040520527,0,0,0.0081041054,0,0,0,0.0040520527,0,0,0.0041691269,0,0,0,0.0166765076
720909388040355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271478707,0,0,0,0,0,0,0,0,0,0,0,0.0630133801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376501008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347861952089823,0,0,0.0127182969,0,0.0127182969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201580236,0,0.0201580236,0,0,0,0,0,0,0,0,0,0,0,0.0422492678,0,0,0,0,0,0.0219990392,0,0,0,0.1759923136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235316455,0,0,0,0.0235316455,0,0,0.0235316455,0,0,0,0,0,0,0,0,0.0242115351,0,0,0,0
1813491758875082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044168592280224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846047891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1001123953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114741623
1674553216159703,0,0.0108237664,0,0.0068290363,0,0,0,0,0,0.0088264013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108237664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122409195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718069295089021,0,0,0,0,0.0355460093,0,0,0.0412676388,0,0.0459425505,0.0459425505,0,0,0,0,0,0,0.0997902641,0,0,0,0,0,0,0,0,0,0,0,0,0.0533190139,0,0,0,0,0,0,0,0,0.0563390917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614844942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1315358645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214056458929400,0,0.0049710963,0.0250913007,0,0,0,0,0.0218475735,0.014565049,0,0,0,0,0.0162150178,0.0081075089,0,0.0264150699,0,0,0,0,0,0,0,0.0094092377,0,0,0.0188184755,0,0,0,0.0094092377,0,0,0.0099421927,0,0,0.0099421927,0,0,0,0.0099421927,0,0,0,0,0,0.0104189371,0,0.0520946854,0.0104189371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112439215,0,0.0112439215,0,0,0,0,0.0116061057,0,0,0,0,0.0116061057,0,0.0116061057,0,0.0116061057,0,0,0,0.0116061057,0,0,0,0,0.0238828718,0,0,0
1733682646859766,0.0013479905,0.0013479905,0.0017009747,0.0017009747,0,0,0.0019747704,0.0019747704,0.0039495409,0,0,0.0043969558,0,0.0021984779,0.0021984779,0.0065954336,0,0,0,0,0,0,0.0023876198,0.0023876198,0,0,0,0.002551462,0,0,0,0.002551462,0,0.0080879432,0,0,0,0.0053919622,0.0026959811,0.0026959811,0,0.0026959811,0.0028252578,0,0,0,0,0,0,0.0141262889,0,0,0,0,0.0029422028,0,0,0,0,0,0,0,0,0,0,0,0,0.0030489652,0,0.0030489652,0.0030489652,0,0,0.0060979304,0,0,0,0,0,0,0,0,0.0031471771,0,0,0,0,0.0157358856,0,0,0,0.0062943543,0.0031471771,0,0.0062943543,0,0,0,0,0
725340260922835,0,0,0.016245637,0,0.0108304247,0,0.0062868668,0,0.0188606005,0,0,0,0,0,0,0,0.0076012115,0,0,0,0,0.0076012115,0,0.0076012115,0.0081228185,0,0,0,0.0081228185,0,0,0,0,0,0,0,0,0,0,0,0,0.0085829085,0.017988946,0,0,0,0,0,0.017988946,0,0,0,0,0,0,0.0093667784,0.0093667784,0.0187335568,0,0,0,0,0.0097066666,0,0,0,0.0097066666,0.0097066666,0,0,0,0,0,0,0.0194133332,0,0.0097066666,0,0,0.0100193334,0.0100193334,0,0,0.0100193334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103088177,0
913726102016230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420033614863551,0,0,0,0.0040773364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129248505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146170979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411662922360897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059089314115526,0,0,0,0,0,0,0,0,0.0328456717,0.1096995593,0,0.0365665198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469915325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181782878833227,0.0094707956,0,0.0119508135,0.0119508135,0.0239016269,0.0138744648,0,0,0,0,0,0,0,0,0.0308924046,0,0,0,0,0.0167750875,0,0,0,0,0.0537786606,0,0,0,0,0,0.0358524404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198498715,0,0,0,0,0,0,0,0.0826860439,0,0.0413430219,0.0413430219,0,0,0.020671511,0,0,0,0,0,0.0642648271,0.0428432181,0,0,0,0,0,0,0,0,0,0,0,0,0.0442232648,0,0.0221116324,0,0,0.0221116324,0,0,0.0442232648,0,0,0.0221116324,0,0,0,0,0,0,0,0,0,0
1515963675396430,0,0,0,0.0433216988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649825482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749342273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776533328,0,0,0,0.0776533328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415560751901803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096945323683235,0,0.0080190678,0.0101189369,0,0.0202378739,0,0,0,0,0,0,0,0,0.0130785363,0,0,0,0,0,0.0284074474,0.0142037237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350057704,0,0.0362760095,0,0,0,0,0,0,0,0,0.0181380047,0,0,0.0544140142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187222581,0,0,0,0,0,0,0,0,0.0192631922,0
1041025602630712,0,0,0,0.1434097615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514846838808883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051856398,0,0,0,0.0164380891,0,0,0.005479363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123935494,0,0,0.0061967747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
